name;games;victories;defeats
Milwaukee Bucks;73;56;17
Toronto Raptors;72;53;19
Los Angeles Lakers;71;52;19
Los Angeles Clippers;72;49;23
Boston Celtics;72;48;24
Denver Nuggets;73;46;27
Indiana Pacers;73;45;28
Houston Rockets;72;44;28
Miami Heat;73;44;29
Oklahoma City Thunder;72;44;28
Utah Jazz;72;44;28
Dallas Mavericks;75;43;32
Philadelphia 76ers;73;43;30
Brooklyn Nets;72;35;37
Portland Trail Blazers;74;35;39
Memphis Grizzlies;73;34;39
Phoenix Suns;73;34;39
Orlando Magic;73;33;40
San Antonio Spurs;71;32;39
Sacramento Kings;72;31;41
Sacramento Kings;72;31;41
Sacramento Kings;72;31;41
New Orleans Pelicans;72;30;42
Washington Wizards;72;25;47
Charlotte Hornets;65;23;42
Chicago Bulls;65;22;43
New York Knicks;66;21;45
Atlanta Hawks;67;20;47
Detroit Pistons;66;20;46
Cleveland Cavaliers;65;19;46
Minnesota Timberwolves;64;19;45
Golden State Warriors;65;15;50